,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,contact_me,past_booker
482,1.0,3,15.0,41.0,95,8,49.3,0,0,1
483,6.0,7,736.0,4.0,262,8,1353.3666666666666,0,0,0
484,3.0,35,228.0,0.0,74,5,4.2,1,1,0
485,1.0,4,110.0,27.0,23,58,11.35,0,1,1
486,1.0,16,0.0,0.0,15,3,894.0,0,0,0
487,2.0,4,268.0,12.0,24,1,395.76666666666665,0,1,0
488,1.0,4,337.0,3.0,8,1,637.3833333333333,0,1,0
489,1.0,2,802.0,9.0,217,6,1592.083333333333,0,1,1
490,2.0,2,121.0,0.0,33,7,815.1666666666665,0,0,0
491,2.0,3,212.0,0.0,88,1,784.6666666666665,0,0,0
493,2.0,4,146.0,2.0,32,9,753.0666666666667,1,1,0
495,1.0,4,77.0,2.0,110,8,978.1,1,1,0
496,5.0,11,47.0,0.0,137,6,299.0833333333333,1,1,0
497,2.0,3,273.0,13.0,166,2,4.016666666666668,0,1,0
498,1.0,2,0.0,21.0,1,30,99.86666666666666,0,0,0
499,2.0,36,44.0,6.0,10,8,897.8166666666667,1,0,1
500,3.0,14,125.0,0.0,61,5,89.88333333333334,0,0,0
501,1.0,3,216.0,42.0,0,3,32.01666666666667,0,0,0
502,1.0,13,190.0,20.0,65,3,9.366666666666667,1,1,0
503,2.0,15,310.0,58.0,53,4,2.6666666666666665,1,1,0
504,1.0,3,608.0,56.0,5,6,591.2666666666668,1,1,0
507,1.0,3,132.0,4.0,187,7,15.716666666666667,1,1,1
508,1.0,4,109.0,0.0,217,2,372.86666666666673,0,1,0
509,3.0,15,64.0,2.0,17,3,4.816666666666666,1,1,0
510,3.0,2,0.0,3.0,87,20,251.58333333333337,0,0,0
512,1.0,2,106.0,46.0,4,2,35.0,0,1,1
514,4.0,14,312.0,5.0,31,7,471.46666666666664,1,0,0
515,3.0,3,168.0,2.0,87,2,1555.6,0,0,0
516,4.0,2,61.0,2.0,7,4,210.55,0,1,1
517,1.0,3,202.0,0.0,1,12,434.6833333333333,0,0,1
518,1.0,6,114.0,22.0,71,3,93.2,0,1,0
